,Coffee_Price,Minas_Temp,Minas_Rain,SP_Temp,SP_Rain
2016-12-01,137.0500030517578,24.280645161290323,190.2,22.4,107.9
2017-02-01,140.6999969482422,25.142857142857142,85.1,22.932142857142857,72.2
2017-03-01,139.3000030517578,25.700000000000003,65.7,21.006451612903227,148.5
2017-04-01,131.0500030517578,25.05666666666667,11.6,19.253333333333334,83.8
2017-05-01,129.35000610351562,22.30322580645161,50.5,17.90967741935484,75.4
2017-06-01,124.05000305175781,21.09333333333333,2.6,16.483333333333334,33.699999999999996
2017-07-01,139.25,19.096774193548388,1.3,15.116129032258065,4.7
2017-08-01,128.14999389648438,22.32903225806452,0.0,16.25161290322581,34.7
2017-09-01,128.0500030517578,23.17,9.899999999999999,19.813333333333333,34.3
2017-11-01,126.30000305175781,23.666666666666668,194.1,19.566666666666666,104.3
2017-12-01,126.19999694824219,24.016129032258064,224.0,21.316129032258065,171.8
2018-01-01,121.8499984741211,25.63225806451613,82.1,21.703225806451613,227.0
2018-02-01,121.05000305175781,23.892857142857142,176.4,20.982142857142858,64.9
2018-03-01,118.1500015258789,24.490322580645163,115.3,22.27741935483871,118.2
2018-05-01,123.69999694824219,21.951612903225808,15.200000000000001,17.874193548387098,21.0
2018-06-01,111.5,21.723333333333336,0.5,17.31,54.0
2018-08-01,98.0999984741211,22.351612903225806,14.3,15.722580645161292,57.3
2018-09-01,102.44999694824219,24.866666666666667,12.6,17.903333333333332,93.7
2018-10-01,112.69999694824219,26.26774193548387,90.5,19.05483870967742,120.9
2018-11-01,103.25,23.096666666666668,210.1,19.836666666666666,123.5
2018-12-01,101.8499984741211,24.009677419354837,225.2,22.141935483870967,89.3
2019-01-01,105.9000015258789,26.103225806451615,8.1,24.26774193548387,157.1
2019-02-01,95.19999694824219,25.614285714285717,95.0,21.842857142857145,242.2
2019-03-01,94.5,24.86774193548387,121.3,21.364516129032257,184.2
2019-04-01,91.8499984741211,24.586666666666666,35.9,20.696666666666665,104.5
2019-05-01,104.5999984741211,23.051612903225806,33.8,18.98709677419355,61.8
2019-06-01,108.25,20.91,0.0,17.196666666666665,24.8
2019-07-01,99.6500015258789,20.293548387096774,0.0,15.241935483870968,108.9
2019-08-01,93.5999984741211,22.919354838709676,1.0,16.4,12.7
2019-10-01,101.94999694824219,26.81935483870968,36.3,20.85483870967742,43.0
2019-11-01,118.55000305175781,26.423333333333336,120.30000000000001,20.37,92.4
2020-01-01,102.6500015258789,25.02258064516129,315.59999999999997,21.80322580645161,277.2
2020-02-01,110.0999984741211,24.36551724137931,169.9,21.179310344827588,237.7
